Straße;Hausnummer;PLZ;Ort;Breitengrad;Längengrad
Elisabeth-Treskow-Platz;neben 2;50678;Köln;50,922767;6,968329
Agrippinawerft (Katharina-Schauberg-Promenade);hinter 12;50678;Köln;50,922128;6,968619
Agrippinawerft (Katharina-Schauberg-Promenade);hinter 22;50678;Köln;50,920538;6,969376
Grantham-Allee;21;53757;Sankt Augustin;50,778507;7,181395
Am Molenkopf;1;50735;Köln;50,97267;6,989922
Ostmerheimer Str.;555;51109;Köln;50,957514;7,048832
Schlossallee;1;53913;Swisttal;50,668921;6,915035
Kalkofenstraße;2;53340;Meckenheim;50,627538;7,011032
Picassoplatz;1;50679;Köln;50,943511;6,973142
Zum Komarhof;1;50354;Hürth;50,894986;6,903955
Parkgürtel;24;50823;Köln;50,961246;6,932904
Parkgürtel;24;50823;Köln;50,960786;6,930509
Edmund-Rumpler-Str.;4;51149;Köln;50,913146;7,053356
Wilhelm-Mauser-Straße;40;50827;Köln;50,956398;6,891325
Wilhelm-Mauser-Straße;40;50827;Köln;50,956613;6,891319
Dollendorfer Str.;4;53639;Königswinter;50,710012;7,276724
Johannisstraße;76-80;50668;Köln;50,944661;6,96153
Dagobertstraße;19-29;50668;Köln;50,94873;6,958793
Dagobertstraße;19-29;50668;Köln;50,948586;6,958482
Norbertstraße;5;45131;Essen;51,427297;6,99357
Lungengasse;ggü. 40;50676;Köln;50,934986;6,946149
Ludwigsstraße;1;50667;Köln;50,937607;6,955156
Aachener Straße;1420;50859;Köln;50,93951;6,815948
Scheidtweilerstraße;38;50933;Köln;50,938688;6,906852
Einsteinstraße;1;53757;Sankt Augustin;50,787069;7,184106
Richmodstraße;09. Nov;50667;Köln;50,937187;6,947557
Krewelshof;1;53797;Lohmar;50,87327;7,197917
Aachener Straße;90-98;50674;Köln;50,936855;6,92965
Neusser Str.;242;50733;Köln;50,963081;6,955304
Köhlstraße;8;50827;Köln;50,975525;6,897439
Heumarkt ;12;50667;Köln;50,934463;6,961505
Severinusstraße;3;50354;Hürth;50,877908;6,887646
Richthofenstraße ;142;53757;Sankt Augustin;50,767071;7,160774
Propsteistraße ;21;51491;Overath;50,930353;7,283992
Emdener Straße;1;50735;Köln;51,01505;6,953572
Henry-Ford-Straße;1;50735;Köln;51,004824;6,959207
Emdener Straße;1;50735;Köln;51,015;6,95305
Spessartstraße;-;50769;Köln;51,02703;6,93997
Henry-Ford-Str.;1;50735;Köln;51,0052;6,96138
Ernst-Heinrich-Geist Str.;5;50226;Frechen;50,907732;6,820286
Scheidtweilerstraße ;4;50933;Köln;50,938752;6,90726
Hansestraße ;115;51149;Köln;50,91278;7,056672
Gerhard-Wilczek-Platz;1;50823;Köln;50,951412;6,919502
Kaiser-Wilhelm-Allee;-;51373;Leverkusen;51,015039;6,977543
Heinrich-Steinmann-Str.;12;51147;Köln;50,876867;7,110094
Heinrich-Steinmann-Straße;12;51147;Köln;50,873777;7,125701
Heinrich-Steinmann-Str.;12;51147;Köln;50,87749;7,120161
Heinrich-Steinmann-Str.;12;51147;Köln;50,880516;7,116148
Heinrich-Steinmann-Str.;12;51147;Köln;50,880277;7,115876
Heinrich-Steinmann-Straße;12;51147;Köln;50,872812;7,113297
Heinrich-Steinmann-Straße;12;51147;Köln;50,87201;7,114883
Kennedystraße;-;51147;Köln;50,879504;7,118784
Constantinstraße;100;50679;Köln;50,938318;6,979376
Markusstraße;neben 124;50968;Köln;50,900858;6,946137
Goldgasse;2;50668;Köln;50,943487;6,961081
Friedrich-Karl-Straße;261;50735;Köln;50,976963;6,969995
Oskar-Schindler-Straße;2;50769;Köln;51,03375;6,91869
Donnerbachweg;15;53332;Bornheim;50,76773;6,948761
Rathausstraße;2;53332;Bornheim;50,757272;7,004436
Colonia-Allee;Okt 20;51067;Köln;50,963563;7,051716
Neusser Str.;460-474;50733;Köln;50,97378;6,951849
Siegburgerstraße ;232-238;51105;Köln;50,92041;6,984919
Rondorfer Straße ;72-74;50354;Hürth;50,890186;6,909906
Agrippastraße;45;50676;Köln;50,933123;6,9523
Erna-Scheffler-Straße;5;50679;Köln;50,940991;6,992267
